Country,ISO3,CPI score 2020,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Denmark,DNK,88,78,,79,86
New Zealand,NZL,88,77,,89,82
Finland,FIN,85,77,,93,86
Singapore,SGP,85,77,,89,85
Sweden,SWE,85,77,,77,87
Switzerland,CHE,85,77,,83,
Norway,NOR,84,78,,,87
Netherlands,NLD,82,77,,81,82
Germany,DEU,80,77,,61,79
Luxembourg,LUX,80,73,,86,
Australia,AUS,77,76,,76,79
Canada,CAN,77,76,,64,80
Hong Kong SAR,HKG,77,72,,84,73
United Kingdom,GBR,77,74,,58,80
Austria,AUT,76,75,,78,77
Belgium,BEL,76,77,,,77
Estonia,EST,75,76,,74,74
Iceland,ISL,75,77,,87,
Japan,JPN,74,75,,92,79
Ireland,IRL,72,75,,79,
United Arab Emirates,ARE,71,72,,89,75
Uruguay,URY,71,75,,66,71
France,FRA,69,72,,55,69
Bhutan,BTN,68,72,60,,
Chile,CHL,67,75,,69,65
United States of America,USA,67,70,,53,71
Seychelles,SYC,66,64,,57,
Taiwan,TWN,65,56,,73,
Barbados,BRB,64,74,,46,63
"Bahamas, The",BHS,63,,,,55
Qatar,QAT,63,48,,92,
Spain,ESP,62,76,,57,71
"Korea, South",KOR,61,71,,54,71
Portugal,PRT,61,67,,54,68
Botswana,BWA,60,68,,45,55
Brunei Darussalam,BRN,60,,,60,
Israel,ISR,60,67,,66,
Lithuania,LTU,60,69,,58,
Slovenia,SVN,60,60,,51,60
Saint Vincent and the Grenadines,VCT,59,,52,,67
Cabo Verde,CPV,58,67,60,47,
Costa Rica,CRI,57,66,,50,63
Cyprus,CYP,57,66,,58,
Latvia,LVA,57,68,,43,
Georgia,GEO,56,69,,,59
Poland,POL,56,72,,53,66
Saint Lucia,LCA,56,,60,,61
Dominica,DMA,55,,52,,54
Czech Republic,CZE,54,61,,48,61
Oman,OMN,54,65,,90,
Rwanda,RWA,54,59,43,76,54
Grenada,GRD,53,,52,,60
